date,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines,population,administrative_area_level,administrative_area_level_1,state,administrative_area_level_3,id,active,date_int,date_str
25/01/2020,4,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,4,43855,25/01/2020
25/01/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43855,25/01/2020
25/01/2020,3,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,3,43855,25/01/2020
25/01/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43855,25/01/2020
25/01/2020,0,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,0,43855,25/01/2020
25/01/2020,0,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,0,43855,25/01/2020
25/01/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43855,25/01/2020
25/01/2020,1,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,1,43855,25/01/2020
25/01/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43855,25/01/2020
26/01/2020,4,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,4,43856,26/01/2020
26/01/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43856,26/01/2020
26/01/2020,3,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,3,43856,26/01/2020
26/01/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43856,26/01/2020
26/01/2020,0,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,0,43856,26/01/2020
26/01/2020,0,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,0,43856,26/01/2020
26/01/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43856,26/01/2020
26/01/2020,1,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,1,43856,26/01/2020
26/01/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43856,26/01/2020
27/01/2020,5,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,5,43857,27/01/2020
27/01/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43857,27/01/2020
27/01/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43857,27/01/2020
27/01/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43857,27/01/2020
27/01/2020,0,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,0,43857,27/01/2020
27/01/2020,0,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,0,43857,27/01/2020
27/01/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43857,27/01/2020
27/01/2020,1,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,1,43857,27/01/2020
27/01/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43857,27/01/2020
28/01/2020,5,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,5,43858,28/01/2020
28/01/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43858,28/01/2020
28/01/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43858,28/01/2020
28/01/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43858,28/01/2020
28/01/2020,0,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,0,43858,28/01/2020
28/01/2020,0,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,0,43858,28/01/2020
28/01/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43858,28/01/2020
28/01/2020,1,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,1,43858,28/01/2020
28/01/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43858,28/01/2020
29/01/2020,9,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,9,43859,29/01/2020
29/01/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43859,29/01/2020
29/01/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43859,29/01/2020
29/01/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43859,29/01/2020
29/01/2020,2,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,2,43859,29/01/2020
29/01/2020,0,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,0,43859,29/01/2020
29/01/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43859,29/01/2020
29/01/2020,3,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,3,43859,29/01/2020
