date,us_date,confirmed,deaths,active,tests,positives,recovered,hosp,icu,vent,vaccines,vaccines_1,vaccines_2,population,administrative_area_level_2
25/01/2020,2020-01-25,4,0,4,0,0,0,0,0,0,0,0,0,25459470,NA
26/01/2020,2020-01-26,4,0,4,0,0,0,0,0,0,0,0,0,25459470,NA
27/01/2020,2020-01-27,5,0,5,0,0,0,0,0,0,0,0,0,25459470,NA
28/01/2020,2020-01-28,5,0,5,0,0,0,0,0,0,0,0,0,25459470,NA
29/01/2020,2020-01-29,9,0,9,0,0,0,0,0,0,0,0,0,25459470,NA
30/01/2020,2020-01-30,9,0,9,0,0,0,0,0,0,0,0,0,25459470,NA
31/01/2020,2020-01-31,9,0,9,0,0,0,0,0,0,0,0,0,25459470,NA
1/02/2020,2020-02-01,10,0,10,0,0,0,0,0,0,0,0,0,25459470,NA
2/02/2020,2020-02-02,12,0,12,0,0,0,0,0,0,0,0,0,25459470,NA
3/02/2020,2020-02-03,12,0,12,0,0,0,0,0,0,0,0,0,25459470,NA
4/02/2020,2020-02-04,13,0,13,0,0,0,0,0,0,0,0,0,25459470,NA
5/02/2020,2020-02-05,14,0,14,0,0,0,0,0,0,0,0,0,25459470,NA
6/02/2020,2020-02-06,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
7/02/2020,2020-02-07,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
8/02/2020,2020-02-08,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
9/02/2020,2020-02-09,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
10/02/2020,2020-02-10,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
11/02/2020,2020-02-11,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
12/02/2020,2020-02-12,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
13/02/2020,2020-02-13,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
14/02/2020,2020-02-14,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
15/02/2020,2020-02-15,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
16/02/2020,2020-02-16,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
17/02/2020,2020-02-17,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
18/02/2020,2020-02-18,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
19/02/2020,2020-02-19,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
20/02/2020,2020-02-20,15,0,15,0,0,0,0,0,0,0,0,0,25459470,NA
21/02/2020,2020-02-21,19,0,19,0,0,0,0,0,0,0,0,0,25459470,NA
22/02/2020,2020-02-22,20,0,20,0,0,0,0,0,0,0,0,0,25459470,NA
23/02/2020,2020-02-23,20,0,20,0,0,0,0,0,0,0,0,0,25459470,NA
24/02/2020,2020-02-24,20,0,20,0,0,0,0,0,0,0,0,0,25459470,NA
25/02/2020,2020-02-25,20,0,20,0,0,0,0,0,0,0,0,0,25459470,NA
26/02/2020,2020-02-26,20,0,20,0,0,0,0,0,0,0,0,0,25459470,NA
27/02/2020,2020-02-27,23,0,23,0,0,0,0,0,0,0,0,0,25459470,NA
28/02/2020,2020-02-28,25,0,25,0,0,0,0,0,0,0,0,0,25459470,NA
29/02/2020,2020-02-29,25,0,25,0,0,0,0,0,0,0,0,0,25459470,NA
1/03/2020,2020-03-01,28,1,27,0,28,0,0,0,0,0,0,0,25459470,NA
2/03/2020,2020-03-02,32,1,31,0,32,0,0,0,0,0,0,0,25459470,NA
3/03/2020,2020-03-03,40,1,39,0,40,0,0,0,0,0,0,0,25459470,NA
4/03/2020,2020-03-04,51,2,49,0,51,0,0,0,0,0,0,0,25459470,NA
5/03/2020,2020-03-05,59,2,57,0,59,0,0,0,0,0,0,0,25459470,NA
6/03/2020,2020-03-06,63,2,61,0,63,0,0,0,0,0,0,0,25459470,NA
7/03/2020,2020-03-07,73,2,71,7214,73,0,0,0,0,0,0,0,25459470,NA
8/03/2020,2020-03-08,80,3,77,8008,80,0,0,0,0,0,0,0,25459470,NA
9/03/2020,2020-03-09,92,3,89,8371,92,0,0,0,0,0,0,0,25459470,NA
