date,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines,vaccines_1,vaccines_2,population,administrative_area_level,administrative_area_level_1,state,administrative_area_level_3,id,active,prop_active,date_us
24/11/2020,20345,822,3514833,20345,19526,1,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-24
25/11/2020,20345,822,3531242,20345,19526,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-25
26/11/2020,20345,822,3544104,20345,19526,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-26
27/11/2020,20345,822,3553932,20345,19526,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-27
28/11/2020,20345,822,3563335,20345,19526,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-28
29/11/2020,20345,822,3569240,20345,19526,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-29
30/11/2020,20345,823,3574270,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-30
1/12/2020,20345,823,3581144,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-01
2/12/2020,20345,823,3593321,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-02
3/12/2020,20345,823,3603415,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-03
4/12/2020,20345,823,3612199,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-04
5/12/2020,20345,823,3619869,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-05
6/12/2020,20345,823,3628246,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-06
7/12/2020,20345,823,3633158,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-07
8/12/2020,20345,823,3640201,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-08
9/12/2020,20345,823,3651779,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-09
10/12/2020,20345,823,3663404,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-10
11/12/2020,20345,823,3673164,20345,19525,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-12-11
23/03/2021,20483,823,5297850,20483,19663,0,0,0,59509,59509,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-23
24/03/2021,20483,823,5317581,20483,19663,0,0,0,63894,63894,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-24
25/03/2021,20483,823,5333027,20483,19663,0,0,0,69592,69592,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-25
26/03/2021,20483,823,5346827,20483,19663,0,0,0,75626,75626,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-26
27/03/2021,20483,823,5357113,20483,19663,0,0,0,80698,80698,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-27
28/03/2021,20483,823,5368821,20483,19663,0,0,0,84210,84210,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-28
8/04/2021,20484,823,5514126,20484,19664,0,0,0,129537,129537,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-04-08
9/04/2021,20484,823,5532589,20484,19664,0,0,0,261050,261050,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-04-09
21/11/2020,20345,822,3487082,20345,19525,1,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-21
22/11/2020,20345,822,3497612,20345,19525,1,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-22
23/11/2020,20345,822,3504873,20345,19525,1,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2020-11-23
21/03/2021,20483,823,5274908,20483,19662,0,0,0,53681,53681,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-21
22/03/2021,20483,823,5284301,20483,19662,0,0,0,55023,55023,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-22
29/03/2021,20484,823,5382784,20484,19663,0,0,0,86282,86282,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-29
30/03/2021,20484,823,5395676,20484,19663,0,0,0,92765,92765,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-30
31/03/2021,20484,823,5417745,20484,19663,0,0,0,99065,99065,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-03-31
1/04/2021,20484,823,5437175,20484,19663,0,0,0,107522,107522,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-04-01
2/04/2021,20484,823,5453004,20484,19663,0,0,0,115077,115077,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-04-02
3/04/2021,20484,823,5465083,20484,19663,0,0,0,115987,115987,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-04-03
4/04/2021,20484,823,5474659,20484,19663,0,0,0,116234,116234,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-04-04
5/04/2021,20484,823,5481736,20484,19663,0,0,0,116677,116677,0,6629870,2,Australia,Victoria,NA,6c5dccdb,0,0,2021-04-05
