date,state,attribute,value,date_us
31/03/2020 0:00,NA,Hospital,32,31/03/2020
31/03/2020 0:00,NA,ICU,6,31/03/2020
31/03/2020 0:00,NA,Ventilator,0,31/03/2020
31/03/2020 0:00,Australian Capital Territory,Hospital,0,31/03/2020
31/03/2020 0:00,Australian Capital Territory,ICU,0,31/03/2020
31/03/2020 0:00,Australian Capital Territory,Ventilator,0,31/03/2020
31/03/2020 0:00,New South Wales,Hospital,0,31/03/2020
31/03/2020 0:00,New South Wales,ICU,0,31/03/2020
31/03/2020 0:00,New South Wales,Ventilator,0,31/03/2020
31/03/2020 0:00,Northern Territory,Hospital,0,31/03/2020
31/03/2020 0:00,Northern Territory,ICU,0,31/03/2020
31/03/2020 0:00,Northern Territory,Ventilator,0,31/03/2020
31/03/2020 0:00,Queensland,Hospital,0,31/03/2020
31/03/2020 0:00,Queensland,ICU,0,31/03/2020
31/03/2020 0:00,Queensland,Ventilator,0,31/03/2020
31/03/2020 0:00,South Australia,Hospital,0,31/03/2020
31/03/2020 0:00,South Australia,ICU,0,31/03/2020
31/03/2020 0:00,South Australia,Ventilator,0,31/03/2020
31/03/2020 0:00,Tasmania,Hospital,0,31/03/2020
31/03/2020 0:00,Tasmania,ICU,0,31/03/2020
31/03/2020 0:00,Tasmania,Ventilator,0,31/03/2020
31/03/2020 0:00,Victoria,Hospital,32,31/03/2020
31/03/2020 0:00,Victoria,ICU,6,31/03/2020
31/03/2020 0:00,Victoria,Ventilator,0,31/03/2020
31/03/2020 0:00,Western Australia,Hospital,0,31/03/2020
31/03/2020 0:00,Western Australia,ICU,0,31/03/2020
31/03/2020 0:00,Western Australia,Ventilator,0,31/03/2020
1/04/2020 0:00,NA,Hospital,400,1/04/2020
1/04/2020 0:00,NA,ICU,76,1/04/2020
1/04/2020 0:00,NA,Ventilator,33,1/04/2020
1/04/2020 0:00,Australian Capital Territory,Hospital,8,1/04/2020
1/04/2020 0:00,Australian Capital Territory,ICU,2,1/04/2020
1/04/2020 0:00,Australian Capital Territory,Ventilator,2,1/04/2020
