state,state_abbrev,date_us,Attribute,Value
Australian Capital Territory,ACT,25/01/2020,hosp_cum,0
Australian Capital Territory,ACT,25/01/2020,icu_cum,0
Australian Capital Territory,ACT,25/01/2020,vent_cum,0
Northern Territory,NT,25/01/2020,hosp_cum,0
Northern Territory,NT,25/01/2020,icu_cum,0
Northern Territory,NT,25/01/2020,vent_cum,0
Queensland,QLD,25/01/2020,hosp_cum,0
Queensland,QLD,25/01/2020,icu_cum,0
Queensland,QLD,25/01/2020,vent_cum,0
South Australia,SA,25/01/2020,hosp_cum,0
South Australia,SA,25/01/2020,icu_cum,0
South Australia,SA,25/01/2020,vent_cum,0
Tasmania,TAS,25/01/2020,hosp_cum,0
Tasmania,TAS,25/01/2020,icu_cum,0
Tasmania,TAS,25/01/2020,vent_cum,0
Western Australia,WA,25/01/2020,hosp_cum,0
Western Australia,WA,25/01/2020,icu_cum,0
Western Australia,WA,25/01/2020,vent_cum,0
Victoria,VIC,25/01/2020,hosp_cum,0
Victoria,VIC,25/01/2020,icu_cum,0
Victoria,VIC,25/01/2020,vent_cum,0
New South Wales,NSW,25/01/2020,hosp_cum,0
New South Wales,NSW,25/01/2020,icu_cum,0
New South Wales,NSW,25/01/2020,vent_cum,0
Australian Capital Territory,ACT,26/01/2020,hosp_cum,0
Australian Capital Territory,ACT,26/01/2020,icu_cum,0
Australian Capital Territory,ACT,26/01/2020,vent_cum,0
Northern Territory,NT,26/01/2020,hosp_cum,0
Northern Territory,NT,26/01/2020,icu_cum,0
Northern Territory,NT,26/01/2020,vent_cum,0
Queensland,QLD,26/01/2020,hosp_cum,0
Queensland,QLD,26/01/2020,icu_cum,0
Queensland,QLD,26/01/2020,vent_cum,0
South Australia,SA,26/01/2020,hosp_cum,0
South Australia,SA,26/01/2020,icu_cum,0
South Australia,SA,26/01/2020,vent_cum,0
Tasmania,TAS,26/01/2020,hosp_cum,0
Tasmania,TAS,26/01/2020,icu_cum,0
Tasmania,TAS,26/01/2020,vent_cum,0
Western Australia,WA,26/01/2020,hosp_cum,0
Western Australia,WA,26/01/2020,icu_cum,0
Western Australia,WA,26/01/2020,vent_cum,0
Victoria,VIC,26/01/2020,hosp_cum,0
Victoria,VIC,26/01/2020,icu_cum,0
Victoria,VIC,26/01/2020,vent_cum,0
New South Wales,NSW,26/01/2020,hosp_cum,0
New South Wales,NSW,26/01/2020,icu_cum,0
New South Wales,NSW,26/01/2020,vent_cum,0
Australian Capital Territory,ACT,27/01/2020,hosp_cum,0
Australian Capital Territory,ACT,27/01/2020,icu_cum,0
Australian Capital Territory,ACT,27/01/2020,vent_cum,0
Northern Territory,NT,27/01/2020,hosp_cum,0
Northern Territory,NT,27/01/2020,icu_cum,0
Northern Territory,NT,27/01/2020,vent_cum,0
Queensland,QLD,27/01/2020,hosp_cum,0
Queensland,QLD,27/01/2020,icu_cum,0
Queensland,QLD,27/01/2020,vent_cum,0
South Australia,SA,27/01/2020,hosp_cum,0
South Australia,SA,27/01/2020,icu_cum,0
South Australia,SA,27/01/2020,vent_cum,0
Tasmania,TAS,27/01/2020,hosp_cum,0
Tasmania,TAS,27/01/2020,icu_cum,0
Tasmania,TAS,27/01/2020,vent_cum,0
Western Australia,WA,27/01/2020,hosp_cum,0
Western Australia,WA,27/01/2020,icu_cum,0
Western Australia,WA,27/01/2020,vent_cum,0
Victoria,VIC,27/01/2020,hosp_cum,0
Victoria,VIC,27/01/2020,icu_cum,0
Victoria,VIC,27/01/2020,vent_cum,0
New South Wales,NSW,27/01/2020,hosp_cum,0
New South Wales,NSW,27/01/2020,icu_cum,0
New South Wales,NSW,27/01/2020,vent_cum,0
Australian Capital Territory,ACT,28/01/2020,hosp_cum,0
Australian Capital Territory,ACT,28/01/2020,icu_cum,0
Australian Capital Territory,ACT,28/01/2020,vent_cum,0
Northern Territory,NT,28/01/2020,hosp_cum,0
Northern Territory,NT,28/01/2020,icu_cum,0
Northern Territory,NT,28/01/2020,vent_cum,0
Queensland,QLD,28/01/2020,hosp_cum,0
Queensland,QLD,28/01/2020,icu_cum,0
Queensland,QLD,28/01/2020,vent_cum,0
South Australia,SA,28/01/2020,hosp_cum,0
South Australia,SA,28/01/2020,icu_cum,0
South Australia,SA,28/01/2020,vent_cum,0
Tasmania,TAS,28/01/2020,hosp_cum,0
Tasmania,TAS,28/01/2020,icu_cum,0
Tasmania,TAS,28/01/2020,vent_cum,0
Western Australia,WA,28/01/2020,hosp_cum,0
Western Australia,WA,28/01/2020,icu_cum,0
Western Australia,WA,28/01/2020,vent_cum,0
Victoria,VIC,28/01/2020,hosp_cum,0
