date,active,population,state,attribute,value,date_us
25/01/2020 0:00,4,25459470,NA,vaccines,0,2020-01-25
25/01/2020 0:00,4,25459470,NA,vaccines_1,0,2020-01-25
25/01/2020 0:00,4,25459470,NA,vaccines_2,0,2020-01-25
26/01/2020 0:00,4,25459470,NA,vaccines,0,2020-01-26
26/01/2020 0:00,4,25459470,NA,vaccines_1,0,2020-01-26
26/01/2020 0:00,4,25459470,NA,vaccines_2,0,2020-01-26
27/01/2020 0:00,5,25459470,NA,vaccines,0,2020-01-27
27/01/2020 0:00,5,25459470,NA,vaccines_1,0,2020-01-27
27/01/2020 0:00,5,25459470,NA,vaccines_2,0,2020-01-27
28/01/2020 0:00,5,25459470,NA,vaccines,0,2020-01-28
28/01/2020 0:00,5,25459470,NA,vaccines_1,0,2020-01-28
28/01/2020 0:00,5,25459470,NA,vaccines_2,0,2020-01-28
29/01/2020 0:00,9,25459470,NA,vaccines,0,2020-01-29
29/01/2020 0:00,9,25459470,NA,vaccines_1,0,2020-01-29
29/01/2020 0:00,9,25459470,NA,vaccines_2,0,2020-01-29
30/01/2020 0:00,9,25459470,NA,vaccines,0,2020-01-30
30/01/2020 0:00,9,25459470,NA,vaccines_1,0,2020-01-30
30/01/2020 0:00,9,25459470,NA,vaccines_2,0,2020-01-30
31/01/2020 0:00,9,25459470,NA,vaccines,0,2020-01-31
31/01/2020 0:00,9,25459470,NA,vaccines_1,0,2020-01-31
31/01/2020 0:00,9,25459470,NA,vaccines_2,0,2020-01-31
1/02/2020 0:00,10,25459470,NA,vaccines,0,2020-02-01
1/02/2020 0:00,10,25459470,NA,vaccines_1,0,2020-02-01
1/02/2020 0:00,10,25459470,NA,vaccines_2,0,2020-02-01
2/02/2020 0:00,12,25459470,NA,vaccines,0,2020-02-02
2/02/2020 0:00,12,25459470,NA,vaccines_1,0,2020-02-02
2/02/2020 0:00,12,25459470,NA,vaccines_2,0,2020-02-02
3/02/2020 0:00,12,25459470,NA,vaccines,0,2020-02-03
3/02/2020 0:00,12,25459470,NA,vaccines_1,0,2020-02-03
3/02/2020 0:00,12,25459470,NA,vaccines_2,0,2020-02-03
4/02/2020 0:00,13,25459470,NA,vaccines,0,2020-02-04
4/02/2020 0:00,13,25459470,NA,vaccines_1,0,2020-02-04
4/02/2020 0:00,13,25459470,NA,vaccines_2,0,2020-02-04
5/02/2020 0:00,14,25459470,NA,vaccines,0,2020-02-05
5/02/2020 0:00,14,25459470,NA,vaccines_1,0,2020-02-05
5/02/2020 0:00,14,25459470,NA,vaccines_2,0,2020-02-05
6/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-06
6/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-06
6/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-06
7/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-07
7/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-07
7/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-07
8/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-08
8/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-08
8/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-08
9/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-09
9/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-09
9/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-09
10/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-10
10/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-10
10/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-10
11/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-11
11/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-11
11/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-11
12/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-12
12/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-12
12/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-12
13/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-13
13/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-13
13/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-13
14/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-14
14/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-14
14/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-14
15/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-15
15/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-15
15/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-15
16/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-16
16/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-16
16/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-16
17/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-17
17/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-17
17/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-17
18/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-18
18/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-18
18/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-18
19/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-19
19/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-19
19/02/2020 0:00,15,25459470,NA,vaccines_2,0,2020-02-19
20/02/2020 0:00,15,25459470,NA,vaccines,0,2020-02-20
20/02/2020 0:00,15,25459470,NA,vaccines_1,0,2020-02-20
