date,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines,population,administrative_area_level,administrative_area_level_2
25/01/2020,4,0,0,0,0,0,0,0,0,25459470,1,NA
26/01/2020,4,0,0,0,0,0,0,0,0,25459470,1,NA
27/01/2020,5,0,0,0,0,0,0,0,0,25459470,1,NA
28/01/2020,5,0,0,0,0,0,0,0,0,25459470,1,NA
29/01/2020,9,0,0,0,0,0,0,0,0,25459470,1,NA
30/01/2020,9,0,0,0,0,0,0,0,0,25459470,1,NA
31/01/2020,9,0,0,0,0,0,0,0,0,25459470,1,NA
1/02/2020,10,0,0,0,0,0,0,0,0,25459470,1,NA
2/02/2020,12,0,0,0,0,0,0,0,0,25459470,1,NA
3/02/2020,12,0,0,0,0,0,0,0,0,25459470,1,NA
4/02/2020,13,0,0,0,0,0,0,0,0,25459470,1,NA
5/02/2020,14,0,0,0,0,0,0,0,0,25459470,1,NA
6/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
7/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
8/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
9/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
10/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
11/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
12/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
13/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
14/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
15/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
16/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
17/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
18/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
19/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
20/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,NA
21/02/2020,19,0,0,0,0,0,0,0,0,25459470,1,NA
22/02/2020,20,0,0,0,0,0,0,0,0,25459470,1,NA
23/02/2020,20,0,0,0,0,0,0,0,0,25459470,1,NA
24/02/2020,20,0,0,0,0,0,0,0,0,25459470,1,NA
25/02/2020,20,0,0,0,0,0,0,0,0,25459470,1,NA
26/02/2020,20,0,0,0,0,0,0,0,0,25459470,1,NA
27/02/2020,23,0,0,0,0,0,0,0,0,25459470,1,NA
28/02/2020,25,0,0,0,0,0,0,0,0,25459470,1,NA
29/02/2020,25,0,0,0,0,0,0,0,0,25459470,1,NA
1/03/2020,28,1,0,28,0,0,0,0,0,25459470,1,NA
2/03/2020,32,1,0,32,0,0,0,0,0,25459470,1,NA
3/03/2020,40,1,0,40,0,0,0,0,0,25459470,1,NA
4/03/2020,51,2,0,51,0,0,0,0,0,25459470,1,NA
5/03/2020,59,2,0,59,0,0,0,0,0,25459470,1,NA
6/03/2020,63,2,0,63,0,0,0,0,0,25459470,1,NA
7/03/2020,73,2,7214,73,0,0,0,0,0,25459470,1,NA
8/03/2020,80,3,8008,80,0,0,0,0,0,25459470,1,NA
9/03/2020,92,3,8371,92,0,0,0,0,0,25459470,1,NA
10/03/2020,112,3,10165,112,0,0,0,0,0,25459470,1,NA
11/03/2020,127,3,10221,127,0,0,0,0,0,25459470,1,NA
12/03/2020,157,3,14856,157,0,0,0,0,0,25459470,1,NA
13/03/2020,198,4,16685,198,0,0,0,0,0,25459470,1,NA
14/03/2020,249,4,20496,249,0,0,0,0,0,25459470,1,NA
15/03/2020,297,6,22567,297,0,0,0,0,0,25459470,1,NA
16/03/2020,376,6,38664,376,0,0,0,0,0,25459470,1,NA
17/03/2020,454,6,44444,454,0,0,0,0,0,25459470,1,NA
18/03/2020,567,7,51000,567,0,0,0,0,0,25459470,1,NA
19/03/2020,709,7,83333,709,28,0,0,0,0,25459470,1,NA
20/03/2020,847,8,91399,847,39,0,0,0,0,25459470,1,NA
21/03/2020,1072,8,100284,1072,51,0,0,0,0,25459470,1,NA
22/03/2020,1352,8,109286,1352,70,0,0,0,0,25459470,1,NA
23/03/2020,1680,8,115643,1680,97,0,0,0,0,25459470,1,NA
24/03/2020,2050,9,123200,2050,113,0,0,0,0,25459470,1,NA
25/03/2020,2430,10,156086,2430,129,0,0,0,0,25459470,1,NA
26/03/2020,2809,14,176505,2809,151,0,0,0,0,25459470,1,NA
27/03/2020,3180,14,192784,3180,204,0,0,0,0,25459470,1,NA
28/03/2020,3640,15,208035,3640,223,0,0,0,0,25459470,1,NA
29/03/2020,3984,17,223514,3984,225,0,0,0,0,25459470,1,NA
30/03/2020,4250,19,231168,4250,291,0,0,0,0,25459470,1,NA
31/03/2020,4561,20,242924,4561,345,32,6,0,0,25459470,1,NA
1/04/2020,4864,21,256953,4864,418,400,76,33,0,25459470,1,NA
2/04/2020,5137,25,266897,5137,572,415,81,32,0,25459470,1,NA
3/04/2020,5362,29,275372,5362,635,410,86,32,0,25459470,1,NA
4/04/2020,5552,31,284891,5552,686,460,92,33,0,25459470,1,NA
5/04/2020,5693,36,297144,5693,788,460,96,33,0,25459470,1,NA
6/04/2020,5799,41,302663,5799,849,458,96,35,0,25459470,1,NA
7/04/2020,5918,49,310700,5918,2549,305,93,37,0,25459470,1,NA
8/04/2020,6023,51,319368,6023,2815,263,87,36,0,25459470,1,NA
9/04/2020,6108,52,330134,6108,2989,262,81,36,0,25459470,1,NA
10/04/2020,6214,55,338346,6214,3142,236,74,38,0,25459470,1,NA
11/04/2020,6302,57,347847,6302,3266,240,80,38,0,25459470,1,NA
12/04/2020,6324,60,353941,6324,3338,239,81,35,0,25459470,1,NA
13/04/2020,6365,62,362136,6365,3494,227,79,46,0,25459470,1,NA
14/04/2020,6414,63,366493,6414,3598,230,80,44,0,25459470,1,NA
15/04/2020,6637,64,371377,6637,3688,214,73,42,0,25459470,1,NA
16/04/2020,6667,64,380003,6667,3747,201,67,38,0,25459470,1,NA
17/04/2020,6714,66,391530,6714,3819,192,60,38,0,25459470,1,NA
18/04/2020,6756,69,406510,6756,4163,184,56,34,0,25459470,1,NA
19/04/2020,6800,71,420996,6800,4230,178,48,33,0,25459470,1,NA
20/04/2020,6813,72,431734,6813,4258,170,49,32,0,25459470,1,NA
21/04/2020,6835,72,439842,6835,4695,167,47,33,0,25459470,1,NA
22/04/2020,6842,75,452441,6842,4935,162,47,31,0,25459470,1,NA
23/04/2020,6850,76,466659,6850,5045,152,46,29,0,25459470,1,NA
24/04/2020,6867,79,482370,6867,5136,139,42,28,0,25459470,1,NA
25/04/2020,6885,81,494257,6885,5373,129,43,28,0,25459470,1,NA
26/04/2020,6904,84,506449,6904,5541,115,43,25,0,25459470,1,NA
27/04/2020,6911,84,517063,6911,5588,113,44,27,0,25459470,1,NA
28/04/2020,6923,85,530679,6923,5630,110,43,27,0,25459470,1,NA
29/04/2020,6936,90,544410,6936,5670,94,38,26,0,25459470,1,NA
30/04/2020,6944,92,563641,6944,5717,89,34,22,0,25459470,1,NA
1/05/2020,6957,94,588868,6957,5747,83,29,21,0,25459470,1,NA
2/05/2020,6972,94,611583,6972,5796,79,28,21,0,25459470,1,NA
3/05/2020,6990,96,633107,6990,5817,75,28,20,0,25459470,1,NA
4/05/2020,7014,96,650214,7014,5863,70,28,20,0,25459470,1,NA
5/05/2020,7040,98,664756,7040,5890,66,27,20,0,25459470,1,NA
6/05/2020,7064,98,688656,7064,5979,62,27,18,0,25459470,1,NA
7/05/2020,7086,98,722549,7086,6038,58,23,17,0,25459470,1,NA
8/05/2020,7104,98,757250,7104,6084,56,21,16,0,25459470,1,NA
9/05/2020,7118,98,795456,7118,6137,51,19,15,0,25459470,1,NA
10/05/2020,7130,98,827872,7130,6166,43,18,15,0,25459470,1,NA
11/05/2020,7137,98,855119,7137,6182,49,16,14,0,25459470,1,NA
12/05/2020,7157,98,877927,7157,6233,47,16,15,0,25459470,1,NA
13/05/2020,7168,99,909025,7168,6274,50,17,14,0,25459470,1,NA
14/05/2020,7183,99,943299,7183,6299,51,18,13,0,25459470,1,NA
15/05/2020,7214,99,983816,7214,6336,47,18,13,0,25459470,1,NA
16/05/2020,7231,99,1015652,7231,6366,49,16,12,0,25459470,1,NA
17/05/2020,7239,99,1042126,7239,6369,50,16,12,0,25459470,1,NA
18/05/2020,7248,100,1062034,7248,6396,45,12,7,0,25459470,1,NA
19/05/2020,7256,100,1085870,7256,6415,47,11,7,0,25459470,1,NA
20/05/2020,7267,101,1111567,7267,6445,44,9,7,0,25459470,1,NA
