Column1,iso_code,Latitude,Longitude,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
46,ABW,12.5,-69.9667,North America,Aruba,25/09/2021 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,155609,81124,74485,NA,108,148,145.16,75.68,69.49,NA,1381,NA,107195,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,NA,NA,NA,NA
522,AFG,33,65,Asia,Afghanistan,25/09/2021 0:00,154960,0,67.571,7199,0,1.857,3890.005,0,1.696,180.719,0,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39835428,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.511,NA,NA,NA
1063,AGO,-12.5,18.5,Africa,Angola,25/09/2021 0:00,54795,515,355.429,1487,16,14.143,1614.771,15.177,10.474,43.821,0.472,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33933611,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,NA,NA,NA
1751,ALB,41,20,Europe,Albania,25/09/2021 0:00,167354,664,740.143,2629,10,7.857,58251.947,231.123,257.626,915.092,3.481,2.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA
2200,AND,42.5,1.6,Europe,Andorra,25/09/2021 0:00,15167,0,6.143,130,0,0,196072.601,0,79.412,1680.585,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77354,163.755,,,,,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,NA,NA,NA
2837,ARE,24,54,Asia,United Arab Emirates,25/09/2021 0:00,734596,321,328.143,2089,3,2.286,73525.162,32.129,32.844,209.086,0.3,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,19847232,9227821,8169539,NA,71886,62082,198.65,92.36,81.77,NA,6214,NA,9991083,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,NA,NA,NA
3683,ARG,-34,-64,South America,Argentina,25/09/2021 0:00,5249840,993,1604.286,114849,21,68.857,115113.371,21.774,35.177,2518.297,0.46,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,50575922,29398567,21216344,NA,298042,286161,110.9,64.46,46.52,NA,6275,NA,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.845,NA,NA,NA
4490,ARM,40,45,Asia,Armenia,25/09/2021 0:00,257620,1066,646.714,5239,23,17.429,86795.448,359.149,217.886,1765.086,7.749,5.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,NA,NA,NA
5076,ATG,17.05,-61.8,North America,Antigua and Barbuda,25/09/2021 0:00,2902,87,42.714,64,1,1.286,29393.89,881.209,432.646,648.246,10.129,13.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98728,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.778,NA,NA,NA
5196,AUS,-27,133,Oceania,Australia,25/09/2021 0:00,97559,1752,1704.429,1231,11,9.857,3783.084,67.938,66.093,47.735,0.427,0.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,26441588,15919052,10522536,NA,311275,292736,102.53,61.73,40.8,NA,11352,NA,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,NA,NA,NA
